0	1.0000000000	0.0020000000
1	0.9996046986	0.0020347638
2	0.9984194195	0.0021387289
3	0.9964460369	0.0023109186
4	0.9936876710	0.0025497167
5	0.9901486834	0.0028528824
6	0.9858346700	0.0032175718
7	0.9807524522	0.0036403689
8	0.9749100659	0.0041173254
9	0.9683167491	0.0046440033
10	0.9609829274	0.0052155286
11	0.9529201968	0.0058266533
12	0.9441413064	0.0064718202
13	0.9346601372	0.0071452544
14	0.9244916810	0.0078410416
15	0.9136520163	0.0085532171
16	0.9021582826	0.0092758650
17	0.8900286541	0.0100032176
18	0.8772823101	0.0107297481
19	0.8639394052	0.0114503011
20	0.8500210373	0.0121601564
21	0.8355492142	0.0128551288
22	0.8205468188	0.0135316469
23	0.8050375730	0.0141868169
24	0.7890460001	0.0148184793
25	0.7725973861	0.0154252372
26	0.7557177396	0.0160064603
27	0.7384337507	0.0165622765
28	0.7207727491	0.0170935362
29	0.7027626604	0.0176017680
30	0.6844319623	0.0180890606
31	0.6658096393	0.0185579750
32	0.6469251372	0.0190114224
33	0.6278083162	0.0194525195
34	0.6084894041	0.0198844398
35	0.5889989478	0.0203102781
36	0.5693677660	0.0207327740
37	0.5496268995	0.0211542635
38	0.5298075626	0.0215764913
39	0.5099410938	0.0220004699
40	0.4900589062	0.0224264010
41	0.4701924374	0.0228535111
42	0.4503731005	0.0232799853
43	0.4306322340	0.0237030104
44	0.4110010522	0.0241187488
45	0.3915105959	0.0245223794
46	0.3721916838	0.0249082373
47	0.3530748628	0.0252697500
48	0.3341903607	0.0255997409
49	0.3155680377	0.0258905662
50	0.2972373396	0.0261342964
51	0.2792272509	0.0263229327
52	0.2615662493	0.0264486230
53	0.2442822604	0.0265037903
54	0.2274026139	0.0264814525
55	0.2109539999	0.0263753670
56	0.1949624270	0.0261801978
57	0.1794531812	0.0258916747
58	0.1644507858	0.0255066532
59	0.1499789627	0.0250232029
60	0.1360605948	0.0244406631
61	0.1227176899	0.0237596190
62	0.1099713459	0.0229818573
63	0.0978417174	0.0221103233
64	0.0863479837	0.0211489106
65	0.0755083190	0.0201024169
66	0.0653398628	0.0189763673
67	0.0558586936	0.0177768473
68	0.0470798032	0.0165103531
69	0.0390170726	0.0151836291
70	0.0316832509	0.0138034148
71	0.0250899341	0.0123764310
72	0.0192475478	0.0109092222
73	0.0141653300	0.0094080684
74	0.0098513166	0.0078790232
75	0.0063123290	0.0063276977
76	0.0035539631	0.0047593253
77	0.0015805805	0.0031788721
78	0.0003953014	0.0015910443
79	0.0000000000	0.0000129500
80	0.0003953014	-0.0015910453
81	0.0015805805	-0.0031789019
82	0.0035539631	-0.0047595493
83	0.0063123290	-0.0063286319
84	0.0098513166	-0.0078818380
85	0.0141653300	-0.0094149662
86	0.0192475478	-0.0109238658
87	0.0250899341	-0.0124043932
88	0.0316832509	-0.0138526268
89	0.0390170726	-0.0152647959
90	0.0470798032	-0.0166373069
91	0.0558586936	-0.0179668195
92	0.0653398628	-0.0192501331
93	0.0755083190	-0.0204843149
94	0.0863479837	-0.0216667238
95	0.0978417174	-0.0227950039
96	0.1099713459	-0.0238671007
97	0.1227176899	-0.0248813052
98	0.1360605948	-0.0258361103
99	0.1499789627	-0.0267303593
100	0.1644507858	-0.0275631792
101	0.1794531812	-0.0283339607
102	0.1949624270	-0.0290423574
103	0.2109539999	-0.0296882176
104	0.2274026139	-0.0302715341
105	0.2442822604	-0.0307924719
106	0.2615662493	-0.0312513036
107	0.2792272509	-0.0316483741
108	0.2972373396	-0.0319841028
109	0.3155680377	-0.0322588534
110	0.3341903607	-0.0324729901
111	0.3530748628	-0.0326268504
112	0.3721916838	-0.0327207213
113	0.3915105959	-0.0327548394
114	0.4110010522	-0.0327294058
115	0.4306322340	-0.0326445170
116	0.4503731005	-0.0325002743
117	0.4701924374	-0.0322967725
118	0.4900589062	-0.0320341286
119	0.5099410938	-0.0317125261
120	0.5298075626	-0.0313322243
121	0.5496268995	-0.0308936041
122	0.5693677660	-0.0303972290
123	0.5889989478	-0.0298438713
124	0.6084894041	-0.0292345486
125	0.6278083162	-0.0285705649
126	0.6469251372	-0.0278535180
127	0.6658096393	-0.0270853498
128	0.6844319623	-0.0262683588
129	0.7027626604	-0.0254052128
130	0.7207727491	-0.0244989572
131	0.7384337507	-0.0235530137
132	0.7557177396	-0.0225711857
133	0.7725973861	-0.0215576418
134	0.7890460001	-0.0205169025
135	0.8050375730	-0.0194538187
136	0.8205468188	-0.0183735429
137	0.8355492142	-0.0172815108
138	0.8500210373	-0.0161834064
139	0.8639394052	-0.0150851179
140	0.8772823101	-0.0139927019
141	0.8900286541	-0.0129123404
142	0.9021582826	-0.0118502888
143	0.9136520163	-0.0108128531
144	0.9244916810	-0.0098063166
145	0.9346601372	-0.0088368960
146	0.9441413064	-0.0079106896
147	0.9529201968	-0.0070336237
148	0.9609829274	-0.0062114006
149	0.9683167491	-0.0054494523
150	0.9749100659	-0.0047528776
151	0.9807524522	-0.0041263961
152	0.9858346700	-0.0035742998
153	0.9901486834	-0.0031004086
154	0.9936876710	-0.0027080313
155	0.9964460369	-0.0023999272
156	0.9984194195	-0.0021782747
157	0.9996046986	-0.0020446484
158	1.0000000000	-0.0020000000
